pdf,query,answer,gt_page
1102434.pdf,How much was the ARtillery Intelligence projects consumer VR in the year 2018?,$4.2 billion,19
1102434.pdf,How much revenue of AR advertising is expected in 2023 for ARtillery Intelligence projects?,$8.8 billion,3
1096078.pdf,What types of statistics were utilized by Reinhart and Rogoff to analyze the debt-growth relationship?,descriptive statistics,3
1054125.pdf,What was the maximum amount requested for conducting construction progress inspections related to building a one million gallon elevated storage tank in the city of humble??,"$35,000.00",1
1246906.pdf,What is the median household income for the City of Manchester?,"$53,278",7
1022784.pdf,What is the age group eligible for the Squirrel volunteering programme?,18- 25,8
1022784.pdf,Who was Patang's chief executive officer in 2015?,Sachidananda Mishra,1
1057021.pdf,What is the estimated construction cost given by PER for drainage and channel improvements and utility relocations to Briar Branch in 2013?,approx. $13M,128
1057021.pdf,"Who was the assistant secretary of the city of Houston, Texas in the year, 2015?",Bob Tucker,3
1096078.pdf,Who developed the public debt theory in 1979?,Robert Barro,8
1102434.pdf,How many smartphones are AR compatible globally?,1 billion,2
1106182.pdf,Which vehicles are able to access the Largo Metro station in 2019?,bus and car,13
1106182.pdf,How are multi-modal streets beneficial for Largo city?,"improve the pedestrian experience  greatly by reducing travel lanes, reducing speed of traffic, activating the  street with seating and tables, and providing more options for bus stops  and bike lanes",13
1106908.pdf,What was the average daily count of NYSE Arca-listed securities in the first half of 2015?,"1,493",15
1119743.pdf,How many public records requests were submitted to the City of Oakland in 2020?,"over  9,000",8
1119743.pdf,What year did Oakland enact its local Sunshine Ordinance?,1997,6
1194605.pdf,"Amongst territory in India, how much of the area was in use for agricultural purposes in the year 1971?",36 million hectares,4
1210913.pdf,Which city developed the first democratic government?,Athens,11
1210913.pdf,Which scientific test does archaeologists apply to analyze fossils and artifacts?,CARBON DATING,1
1224605.pdf,what does the Trial Court Liaison Program aim to accomplish?,to enhance communications between the trial courts and the Judicial Council,3
1242968.pdf,what proportion of the United States' GDP covered the global GDP in 2022?,18.55%,4
1246906.pdf,How many students were identified as homeless in Manchester from 2011 to 2012?,"1,115",11
1283541.pdf,"How many multi-family residential units will be included in the Traffic Impact Study that Langan Engineering & Environmental Services, Inc. creates once it is finished?",118,3
1409236.pdf,"What regions of Kenya were advised to expect heavy rainfall in the most recent advisory issued by KMD on October 23, 2019?","North  East, South East, the Coastal Regions of Kenya, Western and Central regions including Nairobi Area",1
1162329.pdf,What was Travis County's unemployment rate in January 2021?,5.4%,4
1409236.pdf,What natural phenomena contributed to Kenya's heavy rainfall in 2019?,El Nino  Southern Oscillation (ENSO) and the Indian Ocean  Dipole (IOD),1
1409236.pdf,Which river areas in Kenya are exposed to high risk due to terror group attacks?,"Garissa, Lamu and Tana River",10
1243103.pdf,What was the net asset value of Global Media company and its Subsidiaries in UK for FY18?,SR 363 Thousand,17
1210913.pdf,How did the neolithic revolution begin?,The NEOLITHIC REVOLUTION  occurred when people developed  AGRICULTURE.,0
1224605.pdf,Why does the California Constitution conduct a survey of judicial business?,The purpose of the survey and reporting requirements is to “improve the administration of justice.”,4
1057021.pdf,What was the budget for improvements to Barryknoll Lane in 2010?,$5.7 million,95
1106182.pdf,"How many vehicles can the Lotsford Road, Largo's central 6 lane road with turn lanes, can handle in a day?","12,400",10
1106908.pdf,How many times were securities listed on the BATS paused in the first half of 2015?,seven,7
1246906.pdf,What was the geographical focus area of the 2013 Community Health Needs Assessment?,"Auburn,  Bedford, Candia, Deerfield, Goffstown, Hooksett, New Boston as well as the City of Manchester",4
1243103.pdf,"What percentage of shares did Arab Media company purchase in the final quarter of 2017 from the limited liability company Argaam Investment Trading company (""Argaam"")?",51%,17
1162329.pdf,What was the total number of housing units sold in Austin area in fiscal year 2020?,"38,192",6
