image,query,pdf,page
1009210_image12_1.png,What are the top three consumer complaint categories of 2008?,1009210,12
1009210_image12_1.png,Which 3 categories did extremely well in terms of consumer complaints?  ,1009210,12
1010876_image1_2.png,What's the longest recent US recession?,1010876,1
1010876_image1_2.png,Is the 12-Month default rate usually higher than high-yield spread to worst during recessions? ,1010876,1
1014669_image1_2.png,Which allegation is submitted highest to RTAs formal review panel in 2020?,1014669,1
1014669_image1_2.png,How many total allegations for bad practice are submitted to RTAS formal review panel during the years 2018-2021?,1014669,1
1015168_image61_2.png,"By 2017, which fastest-growing occupation had the highest-paid individuals?",1015168,61
1015168_image61_2.png,Which occupation will probably lead with maximum employment changes? ,1015168,61
1015310_image115_1.png,Does Montague have a higher daily flow rate in March or Februrary? ,1015310,115
1015310_image159_2.png,How many days did it take FL Proposal to reach a 100% cumulative rate? ,1015310,159
1026724_image77_1.jpeg,Did more teachers agree with personalized professional learning methods over conventional methods?,1026724,77
1033871_image5_2.png,Which continent registered the minimum number of COVID-19 confirmed cases per million people between 2020 and 2021?,1033871,5
1033871_image5_2.png,"Which continent had the first spike of covid-19 cases in the year 2020, and during which month? ",1033871,5
1039340_image12_1.png,What province had the least impact on driving and walking as a form of mobility during the COVID-19 pandemic in July of 2021?,1039340,12
1057014_image18_1.png,What is the relative sea level trend in new york?,1057014,18
1057014_image18_1.png,What is the margin of error for the relative sea level trend with a 95% confidence interval? ,1057014,18
1061225_image33_1.png,What age group is most concerned about the environmental impact of fast fashion? ,1061225,33
1067421_image4_1.png,Which sector has the maximum Manufacturing sales in Canada in time period (2021-04/2020-02)?,1067421,4
1067421_image4_1.png,Which non-durable manufacturing sectors in Canada saw little to no growth in sales from 2020 to 2021? ,1067421,4
1067785_image15_1.png,"In Japan, what is the maximum inorganic arsenic concentration level in rice in 2012?",1067785,15
1067785_image15_1.png,What is the proposed standard of CODEX for inorganic arsenic concentrations in rice?,1067785,15
1067991_image16_2.jpeg,What is the C/D highway range for 2019 Kia Niro EV model?,1067991,16
1067991_image16_2.jpeg,How much C/D highway range does 2018 Tesla Model 3 Long Range have?,1067991,16
1075664_image9_2.jpeg,What kinds of animals were poached in Singapore in 2016?,1075664,9
1077654_image16_1.jpeg,What is the percentage of total market value for apartments in Anoka city in 2020?,1077654,16
1077654_image16_1.jpeg,What percentage of Anoka's total market value is residential in 2021?,1077654,16
1086222_image13_1.png,What percentage of women's cholesterol intake comes from eggs?,1086222,13
1086222_image13_1.png,Are meat products the main reason for cholesterol intake? ,1086222,13
1086404_image93_2.png,Between Burgerspital and St. Otmar which system is more frequently used?,1086404,93
1088696_image2_1.png,What percentage of individuals have rated having a negative experience at Chipotle?,1088696,2
1088696_image2_1.png,Which American quick service Mexican restaurant do people have the best experience with? ,1088696,2
1094494_image29_1.jpeg,"In June 1996, how many Florida residents found it difficult to afford health care from Blue Cross Blue Shield?",1094494,29
1094494_image29_1.jpeg,How many Floridians found it not that difficult to afford health care costs from Blue Cross Blue Shield in January 2001?,1094494,29
1108655_image20_2.png,What are the top two reasons why replicating a UIA project in a city would be difficult? ,1108655,20
1124304_image2_1.jpeg,What percentage of air show participants are college graduates?,1124304,2
1138736_image2_1.png,How many passenger assists requested by ScotRail in year 2020-21?,1138736,2
1138736_image2_1.png,What station facility owner requested the least passenger assistance from 2020 to 2021?,1138736,2
1158777_image4_1.png,What country did the U.S. export the most agricultural goods to between January 2021 and April 2021?,1158777,4
1163031_image19_2.jpeg,What is the percentage of Accelerated Ventures in Emerging Markets likely to grow in regard to equity?,1163031,19
1166908_image64_1.png,"In 2021, what study was made to regulate flood protection for new buildings?",1166908,64
1166908_image64_1.png,What governmental policy/regulations are implemented from 2020 to 2025 to establish adapted zoning policies and regulations?,1166908,64
1167316_image226_1.jpeg,During what period did most people begin living in their current residence in San Marino?,1167316,226
1167316_image237_1.jpeg,What is the most commonly occurring mortgage payment in the SCAG region?,1167316,237
1167316_image237_1.jpeg,what percentage of mortgage payments in san marino are between $500-$1000?,1167316,237
1167316_image371_1.png,How much was the CIP expenditure in the March FY 2020-2021?,1167316,371
1167316_image371_1.png,Which month has the maximum CIP expenditure in FY 2019-2020?,1167316,371
1177367_image7_1.jpeg,How does ApolloMed reduce administrative costs? ,1177367,7
1177367_image7_1.jpeg,What factors contribute to ApolloMed's ability to achieve better per member per month payments compared to industry standards?,1177367,7
1178516_image23_1.png,"After community clinics, what is the preferred destination of pregnant mothers for PNC?",1178516,23
1179117_image12_2.jpeg,A scientific agreement is more promising with or without a pre-message estimate?,1179117,12
1179117_image12_2.jpeg,What is the approximate actual level of scientific agreement?,1179117,12
1180635_image38_2.png,are emergency services like firefighting a priority for citizens in redmond,1180635,38
1180635_image38_2.png,Do the citizens of Redmond place great importance on maintaining city buildings as a city service? ,1180635,38
1192656_image14_2.jpeg,In which year there is maximum growth of Roche Annual Op. Income?,1192656,14
1192656_image14_2.jpeg,How much was GSK's Annual Op. Income growth % difference when comparing year 2019 an 2020?,1192656,14
1194442_image11_6.jpeg,What percentage of total fatalities and serious injuries are due to speeding? ,1194442,11
1194442_image11_6.jpeg,Where do car crash fatalities and serious injuries happen the most?,1194442,11
1194605_image8_1.jpeg,How much did the U.S. import from India in 2016 in agricultural goods?,1194605,8
1194605_image8_1.jpeg,What year had the lowest U.S. Agricultural imports with India between 2006-2016?,1194605,8
1204831_image19_1.jpeg,What is the levelised cost of energy in black coal for Lazard 2019?,1204831,19
1204831_image19_1.jpeg,What energy source has the highest levelised cost of energy?,1204831,19
1247804_image15_1.png,Do trucks or cars create more carbon?,1247804,15
1247804_image15_1.png,What is the reconfiguration cycle in the progress to low carbon transition?,1247804,15
1255446_image6_1.jpeg,How do most people feel when playing video games in general?,1255446,6
1255446_image6_1.jpeg,"Between Flappy Bird and Breakout, which game is more boring?",1255446,6
1262031_image21_1.png,What is the expected NPL ratio at the end of 2020?,1262031,21
1262031_image21_1.png,What was the NLP ratio in August of 2017?,1262031,21
1267098_image69_1.png,Do gas furnaces use hydrogen?,1267098,69
1276343_image17_1.png,What was the net exposure of Texas Treasury Safekeeping Trust Company for absolute return strategy in June 2010?,1276343,17
1276343_image17_1.png,"In Texas Treasury Safekeeping Trust Company, what was the short exposure rate for LSE in June 2010?",1276343,17
1281699_image39_1.png,"Who gave the highest return in comparison of 5 year cumulative total among Sinclair Broadcast Group, The NASDAQ Composite Index, and The NASDAQ Telecommunications Index??",1281699,39
1301765_image6_2.png,"Are obesity rates higher in Lazio, Italy or Tuscany, Italy? ",1301765,6
1303168_image41_2.png,Name the US regions which maintained material expenditures per capita at par with the State Average in FY 2019?,1303168,41
1303168_image41_2.png,Which county had the maximum material expenditures per capita in 2019?,1303168,41
1306483_image211_2.jpeg,What are some forms of traditional media?,1306483,211
1310912_image63_1.png,What was the largest number of Fundy Cows calves in northern habitat use pattern?,1310912,63
1312679_image13_7.png,"In which year, Business profits tax of New Hampshire reach to its peak?",1312679,13
1312679_image13_7.png,"In which year, there is a biggest downfall in the Business Enterprise tax of New hampshire?",1312679,13
1312679_image37_4.png,"In 2021, what is the decline rate in employment of the white population in United States?",1312679,37
1312679_image37_4.png,"Within the Hispanic community, which gender experienced the most change in employment from February 2020 to February 2021?",1312679,37
1312679_image60_5.png,"In New Hampshire, for the year 2020, what kind of tax brought the most revenue?",1312679,60
1312679_image60_5.png,What was the tax revenue for business profits in New Hampshire for the year 2020? ,1312679,60
1316286_image2_5.jpeg,"Between 2019 and 2021, how much of an increase do we see in EV production?",1316286,2
1319738_image22_1.png,What are five opportunities that could produce up to 3.5% annual growth over the next decade?,1319738,22
1321440_image177_1.png,What proves to be an effective marketing platform for Cockburn city's football games?,1321440,177
1321440_image177_1.png,Least popular source of advertising for fremantle football club 2019?,1321440,177
1321440_image180_1.png,Who were the organizers of the City of Cockburn Christmas Event in 2019?,1321440,180
1321440_image180_1.png,Did majority of people think that the Dockers organized the Cockburn Christmas Collective? ,1321440,180
1325730_image96_1.jpeg,What percentage of all students enrolled in the Camarillo Academy of Progressive Education met the standards for English literacy? ,1325730,96
1333360_image12_1.png,Which province in Thailand had the least impact on walking and driving during the COVID-19 pandemic in mid-June of 2021?,1333360,12
1333360_image3_2.png,"In mid-June of 2021, how many new deaths were accounted for due to covid-19 in Bangkok? ",1333360,3
1333360_image3_2.png,"During mid-June of 2021, how many new cases of covid did the province of Kalasin reported?",1333360,3
1333360_image5_1.png,What was the reason that caused an outburst of COVID-19 cases at a rapid level within Thailand in June 2018?,1333360,5
1333360_image5_1.png,What province of Thailand experienced the most Covid cases in the workplace during mid-June of 2021?,1333360,5
1334401_image36_2.png,What percentage of individuals that heavily use alcohol also use Marijuana?,1334401,36
1334401_image36_2.png,What percentage of individuals that heavily use opioids also heavily use alcohol?,1334401,36
1338399_image30_4.jpeg,What are singapore's top three imported commodities?,1338399,30
1349205_image39_1.jpeg,Has there been a slowdown in global warming?,1349205,39
1349205_image39_1.jpeg,Since what year has global temperatures been in a steady increase? ,1349205,39
1364267_image1_25.jpeg,What was the RES abatement in 2014?,1364267,2
1373468_image22_1.png,What was the LIB Cell Manufacturing Costs in USD per kWh in Korea in 2014?,1373468,22
1378521_image128_1.jpeg,What sectors contribute most to greenhouse gas emissions in the US?,1378521,128
1381956_image6_2.jpeg,"In 2010, what was the greenhouse gas emissions from land use value in Kazakhstan? ",1381956,6
1381956_image7_1.jpeg,What was the conditional number in 2020 of greenhouse gas emissions excluded from land use in Chile? ,1381956,7
1381956_image7_1.jpeg,What is expected of greenhouse gas emission rate from land use with current policies in Chilie?,1381956,7
1387893_image85_1.jpeg,What was the average commercial landing value of dungeness crab between 2012 and 2016?,1387893,85
1391979_image27_1.png,What was the average firearm suicide rate of Seattle residents from 2012-2016?,1391979,27
1391979_image27_1.png,What was the average firearm suicide rate of King County residents from 2012-2016?,1391979,27
1399720_image6_1.png,Do most countries still see globalisation as a force for good in the world?,1399720,6
1399720_image6_1.png,Would it be a fair assessment that Danish people generally see globalisation positively?,1399720,6
1404777_image12_5.png,How do energy storage options impact total monthly bills?,1404777,12
1404777_image12_5.png,What is the lowest billing month without energy storage?,1404777,12
