query,pdf,page,modality,pdf_page
How much was the ARtillery Intelligence projects consumer VR in the year 2018?,1102434,19,text,1102434_20
How much revenue of AR advertising is expected in 2023 for ARtillery Intelligence projects?,1102434,3,text,1102434_4
What types of statistics were utilized by Reinhart and Rogoff to analyze the debt-growth relationship?,1096078,3,text,1096078_4
What was the maximum amount requested for conducting construction progress inspections related to building a one million gallon elevated storage tank in the city of humble??,1054125,1,text,1054125_2
What is the median household income for the City of Manchester?,1246906,7,text,1246906_8
What is the age group eligible for the Squirrel volunteering programme?,1022784,8,text,1022784_9
Who was Patang's chief executive officer in 2015?,1022784,1,text,1022784_2
What is the estimated construction cost given by PER for drainage and channel improvements and utility relocations to Briar Branch in 2013?,1057021,128,text,1057021_129
"Who was the assistant secretary of the city of Houston, Texas in the year, 2015?",1057021,3,text,1057021_4
Who developed the public debt theory in 1979?,1096078,8,text,1096078_9
How many smartphones are AR compatible globally?,1102434,2,text,1102434_3
Which vehicles are able to access the Largo Metro station in 2019?,1106182,13,text,1106182_14
How are multi-modal streets beneficial for Largo city?,1106182,13,text,1106182_14
What was the average daily count of NYSE Arca-listed securities in the first half of 2015?,1106908,15,text,1106908_16
How many public records requests were submitted to the City of Oakland in 2020?,1119743,8,text,1119743_9
What year did Oakland enact its local Sunshine Ordinance?,1119743,6,text,1119743_7
"Amongst territory in India, how much of the area was in use for agricultural purposes in the year 1971?",1194605,4,text,1194605_5
Which city developed the first democratic government?,1210913,11,text,1210913_12
Which scientific test does archaeologists apply to analyze fossils and artifacts?,1210913,1,text,1210913_2
what does the Trial Court Liaison Program aim to accomplish?,1224605,3,text,1224605_4
what proportion of the United States' GDP covered the global GDP in 2022?,1242968,4,text,1242968_5
How many students were identified as homeless in Manchester from 2011 to 2012?,1246906,11,text,1246906_12
"How many multi-family residential units will be included in the Traffic Impact Study that Langan Engineering & Environmental Services, Inc. creates once it is finished?",1283541,3,text,1283541_4
"What regions of Kenya were advised to expect heavy rainfall in the most recent advisory issued by KMD on October 23, 2019?",1409236,1,text,1409236_2
What was Travis County's unemployment rate in January 2021?,1162329,4,text,1162329_5
What natural phenomena contributed to Kenya's heavy rainfall in 2019?,1409236,1,text,1409236_2
Which river areas in Kenya are exposed to high risk due to terror group attacks?,1409236,10,text,1409236_11
What was the net asset value of Global Media company and its Subsidiaries in UK for FY18?,1243103,17,text,1243103_18
How did the neolithic revolution begin?,1210913,0,text,1210913_1
Why does the California Constitution conduct a survey of judicial business?,1224605,4,text,1224605_5
What was the budget for improvements to Barryknoll Lane in 2010?,1057021,95,text,1057021_96
"How many vehicles can the Lotsford Road, Largo's central 6 lane road with turn lanes, can handle in a day?",1106182,10,text,1106182_11
How many times were securities listed on the BATS paused in the first half of 2015?,1106908,7,text,1106908_8
What was the geographical focus area of the 2013 Community Health Needs Assessment?,1246906,4,text,1246906_5
"What percentage of shares did Arab Media company purchase in the final quarter of 2017 from the limited liability company Argaam Investment Trading company (""Argaam"")?",1243103,17,text,1243103_18
What was the total number of housing units sold in Austin area in fiscal year 2020?,1162329,6,text,1162329_7
What does the Municipal Code 16.12.030 of Moses Lake allow?,1061646,39,text,1061646_40
How many sets of plans are required to submit for a permit application for a fire alarm and sprinkler system?,1061646,34,text,1061646_35
What are the two forms of AR that developers and tech companies will need to meet consumer demand? ,1102434,14,text,1102434_15
"By comparing the carrying value of property, plant and equipment in Saudi Printing and Packaging Company, what amount did the management acquire after the impairment assessment in 2020?",1243103,6,text,1243103_7
3.	What is the total revenue of SAUDI RESEARCH AND MARKETING GROUP for the year December 2020?,1243103,5,text,1243103_6
Approximately how many trips can Connecticut Avenue in DC can handle in a single day?,1106182,10,text,1106182_11
Who delivered the ten commandments?,1210913,4,text,1210913_5
How many tons of freight is moved by United States in 2017?,1319738,26,text,1319738_27
"In 2018, what was the estimated number of deskless workers worldwide?",1319738,4,text,1319738_5
Who is the managing director of Structure Research company?,1319738,18,text,1319738_19
What year did Heman Marion Sweatt file a suit against University of texas?,1162329,8,text,1162329_9
"On which date, Patang organized an event on ""Celebrating youth-led social action""?",1022784,14,text,1022784_15
What is the posted speed limit for Lincoln Avenue roadway?,1283541,8,text,1283541_9
"What were the identified peak hours for the traffic movement by Bertin Engineering in 2020, during weekdays and Saturdays at Lafayette Avenue, Lincoln Avenue, May Street and Wagaraw Road intersection?",1283541,10,text,1283541_11
How many adults were there with developmental disabilities in open conservatorship cases in Los Angeles County?,1224605,7,text,1224605_8
"In 2016, ETPs and inverse ETPs that traded over a certain amount became eligible for the TIER 1 NMS Stock designation. What was that trading amount?",1106908,20,text,1106908_21
What are the three distinctive perspectives on the effect of debt on growth?,1096078,8,text,1096078_9
Which organization assessed Oakland’s current performance to develop an ongoing accountability tool to monitor department progress going forward in 2020?,1119743,4,text,1119743_5
"What is the maximum contract limit between the City of Humble, Texas, and ARKK Engineers for managing the West Townsen Extension Project?",1054125,1,text,1054125_2
"Who criticized the unfair, closed-door process of BDAC to FCC leadership?",1054125,55,text,1054125_56
"Between 2016 and 2017,of the Rs allocated by the Standing Committee on Agriculture, how much was actually released?",1194605,1,text,1194605_2
When did the US administration remove India from the Generalized System of Preferences (GSP)?,1194605,7,text,1194605_8
"Which organization, established in 1978, was created to support sound employee benefit programs and public policy?",1111565,1,text,1111565_2
"In America, what is the estimated average of retirement deficit for widows of age 40 to 44?",1111565,13,text,1111565_14
What proportion of the 2014 EU budget goes toward rural development and European farmers?,1319081,0,text,1319081_1
How much budget the European Commission is proposing for 2021-2027?,1319081,1,text,1319081_2
Approximately how many member organizations are involved in the climate action network?,1319081,0,text,1319081_1
"During the investigation of Project Washigton, who received reports about multiple breaches of the RTAS Rules during the second period of 2020 before multiple officials were suspended?",1014669,6,text,1014669_7
"According to the RTAS rules, the duration of each suspension is dependent on which factors?",1014669,0,text,1014669_1
Who was the City Assessor of the Anoka in 2021?,1077654,4,text,1077654_5
What is the expected total number of jobs available in the US in the third quarter of 2021?,1242968,1,text,1242968_2
By what percentage did the US GDP increase in the second quarter of 2021?,1242968,5,text,1242968_6
Which two countries had the fastest growing rate of urbanisation of major population bases from 1990 to 2015?,1015168,10,text,1015168_11
"What was the purpose of the new ""Skills Agenda for Europe"" that the European Union (EU) approved in 2016?",1015168,5,text,1015168_6
Name the basic four aspects of globalization that was identified by the International Monetary Fund in 2000.,1015168,9,text,1015168_10
What is the average annual temperature at the upper Saint John River basin?,1375277,18,text,1375277_19
What is the total drainage area of the St. John River Basin?,1375277,17,text,1375277_18
"What was the production percentage share of the largest producer (EU) in the biodiesel market, for the year 2009-2011?",1022031,22,text,1022031_23
What do the Welthungerhilfe and Global Hunger Index study believe is the cause for the 2011 price increase and increasing volatility?,1022031,9,text,1022031_10
How many undernourished people were identified in the world from between 2010 and 2012?,1022031,31,text,1022031_32
"What is the first cross-country pipeline that delivers natural gas to several power and fertilizer plants across the states of Gujarat, Madhya Pradesh, Rajasthan, and Uttar Pradesh?",1024757,2,text,1024757_3
How much was the global liquefied natural gas trade between regions in 2020?,1024757,10,text,1024757_11
"As of 2020, what was the total number of natural gas vehicles manufactured globally?",1024757,15,text,1024757_16
What was the cost per head for attending the Community Lunch at Seaford Christian Churches in 2021?,1209612,1,text,1209612_2
Which days of the year are the only ones when Mass is not celebrated?,1209612,3,text,1209612_4
"In 2021, when were parishioners invited to the Community Lunch at the Seaford Christian Churches?",1209612,1,text,1209612_2
Does Admiral Markets UK Ltd provide investment advice?,1319927,35,text,1319927_36
What is the maturity date of contracts for differences?,1319927,32,text,1319927_33
Which type of trading contracts may differ from trading on other electronic trading systems as well as from trading in a conventional or open market?,1319927,34,text,1319927_35
What was the precision rate seen by the time signals of HBG for a distance of 1000km?,1014077,3,text,1014077_4
What is the NPM's short-term VLF frequency measurement precision range?,1014077,3,text,1014077_4
What particular type of measurements  was used by the system proposed by NBS [IO] in 1959 to distribute more accurate time and frequency at HF?,1014077,7,text,1014077_8
"Who opposed to approve the consent agenda in the Humble City council meeting, held on June 28, 2018? ",1113772,7,text,1113772_8
What was the rate of decline in heroin initiation in the United States in 2018?,1334401,18,text,1334401_19
What was the decrease in opioid use disorder from 2018 to 2019?,1334401,18,text,1334401_19
How many individuals are surveyed annually by National Survey on Drug Use and Health?,1334401,1,text,1334401_2
How much revenue was collected through taxes for year 2014 in Peters Township?,1379508,28,text,1379508_29
"What was the Peters Township's net position increase, registered by the end of year 2014? ",1379508,23,text,1379508_24
Who was the certified auditor in charge of PricewaterhouseCoopers in the year 2021?,1096626,26,text,1096626_27
What is the responsibility of the people charged with governance?,1096626,25,text,1096626_26
How many members are working for World Vision International?,1154736,4,text,1154736_5
What has come of the collaboration between World Vision and Irish Aid in 2017?,1154736,2,text,1154736_3
What year was The Australasian Gaming Council (AGC) established?,1178795,1,text,1178795_2
How much did Crown Melbourne contribute for Australian GDP in 2015?,1178795,15,text,1178795_16
"How many Australian adults, as reported by the AGC in 2021, play EGMs? ",1178795,6,text,1178795_7
"As of the 14th of April 2021, how many patients enrolled for chronic polytherapy?",1301765,0,text,1301765_1
What are some examples of community-based healthcare providers?,1301765,2,text,1301765_3
"In chronic polytherapy, what is the relative risk decrease of reducing admissions?",1301765,1,text,1301765_2
"In FY 2019, what was the Georgia's per capita state funding?",1303168,5,text,1303168_6
"By the end of fiscal year 2019, what percentage of public library systems in Georgia were above the state average of 1.86 items per capita?",1303168,35,text,1303168_36
What place does Georgia hold in terms of state funding per person for public libraries in FY2018?,1303168,5,text,1303168_6
What was the population of Bangladesh in 2007?,1178516,2,text,1178516_3
"By the end of 2007, what percentage of Bangladeshi population was living in rural areas? ",1178516,2,text,1178516_3
What is the maximum sentence for someone found guilty of animal cruelty in Singapore under the Animals and Birds Act?,1075664,11,text,1075664_12
"How many cases involving animal cruelty were reported by animal welfare organizations in Singapore, in 2016?",1075664,0,text,1075664_1
how many consumers were impacted by the court case with FirstEnergy?,1031852,4,text,1031852_5
"What is the nameplate generating capacity of IKEC’s Clifty Creek Plant at Madison, Indiana?",1031852,14,text,1031852_15
What are the nine members of the Washington Student Achievement Council that the Washington Legislature appointed in 2012?,1183777,1,text,1183777_2
"Compared to 1986, what was the growth percentage of the Hispanic high-school age population by the end of 2010?",1183777,3,text,1183777_4
"How has the enrollment of full-time equivalent students in Washington's community and technical colleges changed over time, particularly with respect to e-Learning?",1183777,11,text,1183777_12
"According to the 2021/22 forecast, from the National Agricultural Statistics Service (NASS), how much amount of corn production was collected? ",1323986,0,text,1323986_1
"With its unaltered export prediction for 2020–2021 at an all-time high, the United States will account for about what percentage of the world’s corn trade?",1323986,0,text,1323986_1
How many bushels of corn are estimated to be exported from the U.S. in the year 2020-21?,1323986,4,text,1323986_5
What services are covered under the FUNCTIONAL PLAN 2020–2040 of the REDMOND POLICE DEPARTMENT for traditional law enforcement? ,1180635,6,text,1180635_7
What is the actual average risk of breast cancer in women?,1179117,8,text,1179117_9
"Who approved the research ""Simple Messages Help Set the Record Straight about Scientific Agreement on Human-Caused Climate Change: The Results of Two Experiments"" ? ",1179117,3,text,1179117_4
"n 2013, what percentage of American adults believed that ""most scientists think global warming is happening""?",1179117,1,text,1179117_2
How many countries have signed the Paris Climate Agreement?,1204831,9,text,1204831_10
Why does the cost of electricity have such a large impact on economic activity?,1204831,13,text,1204831_14
"On which date did the Governor announce that public and private schools in Massachusetts must remain closed for in-person instruction until Monday, May 4 in order to prevent further spread of the coronavirus (COVID-19)?",1038973,0,text,1038973_1
In what year did Cambridge receive a State MVP grant?,1166908,52,text,1166908_53
What is the projected increase in the average summer temperature of Cambridge by 2070?,1166908,10,text,1166908_11
During which period did the national debt of the US double from 35 percent of GDP to over 70 percent due to the Great Recession?,1038218,0,text,1038218_1
"In June 2018, how much U.S. debt was held by foreign investors?",1038218,2,text,1038218_3
"How much is the U.S. projected to spend on interest for the debt in 2018, and what percentage of the federal budget does this represent?",1038218,1,text,1038218_2
When was the Waste Local Law 2020 adopted by the City of Cockburn council?,1321440,6,text,1321440_7
What activity is correlated with parents having better relationships with their children and being more engaged in their children’s education?,1029321,0,text,1029321_1
What kind of couple are more likely to bear a child out of wedlock?,1029321,3,text,1029321_4
How much income was generated from agricultural exports in the US during the first four months of 2021?,1158777,0,text,1158777_1
How many full time jobs were supported by U.S agricultural exports in 2019?,1158777,0,text,1158777_1
"What was the overall revenue contributed by agriculture, food, and related industries to the U.S. economy, in 2019? ",1158777,0,text,1158777_1
What was the revenue growth rate experienced by Shopify in 2020?,1313588,2,text,1313588_3
What was New Jersey's projected revenue decline for budget year 2021?,1313588,1,text,1313588_2
What was the percentage growth in Federal Information Security incidents from fiscal year 2009 through fiscal year 2015? ,1016310,11,text,1016310_12
"Which act requires federal agencies in the executive branch to develop, document, and implement an information security program? ",1016310,7,text,1016310_8
"As of 2020, how many seasonal vacant homes are present in Oscoda County, Michigan?",1388460,13,text,1388460_14
"Which county was considered the second most expensive vacation home county, in 2020?",1388460,13,text,1388460_14
What was the percentage increase in vacation home sales in 2020?,1388460,2,text,1388460_3
What was the decline in electricity demand in the U.S. from 2010 to 2020?,1259787,1,text,1259787_2
"What was the percentage increase in electric transmission spending across America over six years, as per the Financial Review of EEI 2019?",1259787,1,text,1259787_2
How much does the Industrial Energy Consumers of America acquire in annual sales?,1259787,4,text,1259787_5
How does the Digital News Report of the Reuters Institute collect information to publish its findings?,1066320,7,text,1066320_8
What proportion of total news consumption was estimated to occur through mobile news and social media apps rather than browsers in 2018?,1066320,0,text,1066320_1
"In 2017, what percentage of US adults accessed news on a mobile device at least once?",1066320,1,text,1066320_2
"In April 2021, what was the unemployment rate in the Treasure Coast Region?",1396830,10,text,1396830_11
How many non-agricultural jobs were added in the Treasure Coast Region from April 2020 to April 2021?,1396830,10,text,1396830_11
"What was the percentage of unemployment in the Treasure Coast Region, Florida in 2020?",1396830,10,text,1396830_11
What does 2004 Family Code of Mozambique’s Constitution guarantee?,1317209,2,text,1317209_3
Who was Senior Research Manager of Gallup Pakistan in 2019?,1317209,0,text,1317209_1
What ratio of girls in sub-Saharan Africa completed primary school by 2011?,1317209,1,text,1317209_2
Why do road traffic injuries receive less media attention?,1331183,0,text,1331183_1
What is the relation of VSL and VSI with GDP per capita?,1331183,2,text,1331183_3
"From 2021-2030, what estimated percentage of the overall GDP is Malaysia predicted to invest annually in road infrastructure improvement?",1331183,1,text,1331183_2
What are the five key value indicators of J&J?,1192656,10,text,1192656_11
What year did GSK start incorporating a non-linear mixed integer programming model?,1192656,10,text,1192656_11
How many countries participated in the inaugural World Hepatitis Summit of 2015?,1326681,11,text,1326681_12
When did WHO launched a new Injection Safety Programme?,1326681,9,text,1326681_10
"What is the rank of hepatitis as a cause of death globally, and how many deaths does it cause annually?",1326681,4,text,1326681_5
What causes higher volatility in the financial markets of Italy?,1262031,4,text,1262031_5
How much was the stock of bad loans in Italy at November 2015?,1262031,2,text,1262031_3
What was the percentage increase in Italian GDP by the conclusion of 2014?,1262031,0,text,1262031_1
Which countries are included in BRIC?,1026220,1,text,1026220_2
What are the four basic factors that are used to compare different companies?,1026220,3,text,1026220_4
How much higher was the average annual sales growth of BICCs in 2015 compared to other companies in their respective industries?,1026220,2,text,1026220_3
What is the only way to degrade fibre?,1086222,13,text,1086222_14
What is the recommended exercise routine for people belonging to age group 18 to 65?,1086222,15,text,1086222_16
What is Union Church of Pocantico Hills known for?,1384475,0,text,1384475_1
"In 2021, how much was the Union Church of Pocantico Hills given from Paycheck Protection Program?",1384475,6,text,1384475_7
How old is the Union Church of Pocantico Hills?,1384475,0,text,1384475_1
What is an average score in the SUS questionnaire?,1086404,88,text,1086404_89
Where is the Nursing Home Griesfeld located?,1086404,26,text,1086404_27
"Which department is responsible for the full psychiatric care of the regions Innsbruck-Land and Schwaz as well as supraregional for the areas geriatric psychiatric, Forensic and Social Psychiatry?",1086404,24,text,1086404_25
"In 2016, what was the federal poverty threshold for a family of four?",1391979,33,text,1391979_34
