image,query,pdf,page,table
1003421_image3_1,How much did Pendleton County spend out of their COVID-19 fund for the month of April 2021?,1003421,2,1003421_2_0
1008059_image7_1,How many units are occupied by single families of Klamath county in 2009?,1008059,6,1008059_6_1
1008059_image7_1,"In the Klamath county, what is the total valuation of construction for census code 434 in 2009?",1008059,6,1008059_6_1
1011810_image22_1,How much did Nalco pay GRIDCO for electricity at captive power plant in the year 2010-11?,1011810,21,1011810_21_0
1011810_image22_1,How much coal is used at Alumina refinery of Nalco in the year 2011-12?,1011810,21,1011810_21_2
1011810_image75_1,What is the interest cost on gratuity at Nalco in the fiscal year 2012?,1011810,74,1011810_74_0
1011810_image75_1,"In fiscal year 2012, how much were the salaries and wages at Nalco?",1011810,74,1011810_74_1
1022784_image24_8,"How much Earmarked funds does Mishra Badhai & Associates have for PATANG on March 31, 2014?",1022784,19,1022784_19_0
1048308_image62_1,What is the beginning balance of the Pinal County Treasurer's account in December 2017?,1048308,61,1048308_61_2
1050851_image2_1,"While calculating the total income of Sutlej Textiles and Industries Limited for year 2019, what sources are included?",1050851,1,1050851_1_0
1054125_image18_1,"In the city of Humble, how many incident reports did the fire department receive on October 10, 2017?",1054125,17,1054125_17_0
1057021_image48_1,In Geotech Engineering and Testing what is the unit rate for vehicle charge ?,1057021,47,1057021_47_0
1057315_image105_1,"What was the total capital assets balance of the Town of Johnstown, Colorado at the end of FY16?",1057315,104,1057315_104_0
1057315_image91_1,"How much is the value of Depreciation in the drainage fund in Johnston, CO?",1057315,90,1057315_90_0
1061589_image40_1,How much did Brick Board of Education spent in total on central services for the fiscal year 2017?,1061589,39,1061589_39_0
1061589_image40_1,What was the total expenditure of Brick Board of Education on custodial services for fiscal year 2017?,1061589,39,1061589_39_0
1061646_image59_1,What was the estimated population in Seattle in the year 2012?,1061646,58,1061646_58_0
1067588_image62_1,How many hours will be invested in the plans & specifications of the 2021 Pavement Rehabilitation Project in the city of Benicia?,1067588,61,1067588_61_0
1067588_image62_1,What is the total estimated cost for the 2021 Pavement Rehabilitation Project in the city of Benicia?,1067588,61,1067588_61_0
1068798_image4_2,What was the local tax rate of the town of Newton in 2016? ,1068798,3,not detected
1068798_image4_2,what was the municipal tax rate in the town of Newton in 2015?,1068798,3,not detected
1071056_image74_1,"In Jackson County, what are the total expenditures of housing authority for the year 2013-14?",1071056,73,1071056_73_1
1073013_image116_1,"How much fund was disbursed by the city of Southaven on ""Travel and Training"" in the first quarter of the year 2015?",1073013,115,1073013_115_0
1077956_image91_1,On what street is the Hamilton Hotel located in the Central District?,1077956,90,1077956_90_0
1077956_image91_1,How many hotels are located in the central district?,1077956,90,1077956_90_0
1084420_image15_1,"According to the 2020 WO-WAS fund report, how much was spent on traveling by the board members in the month of February?",1084420,14,1084420_14_0
