query,pdf,page,modality,pdf_page
What was the net asset value of Global Media company and its Subsidiaries in UK for FY18?,1243103,17,text,1243103_18
"What percentage of shares did Arab Media company purchase in the final quarter of 2017 from the limited liability company Argaam Investment Trading company (""Argaam"")?",1243103,17,text,1243103_18
"By comparing the carrying value of property, plant and equipment in Saudi Printing and Packaging Company, what amount did the management acquire after the impairment assessment in 2020?",1243103,6,text,1243103_7
3.	What is the total revenue of SAUDI RESEARCH AND MARKETING GROUP for the year December 2020?,1243103,5,text,1243103_6
Which two countries had the fastest growing rate of urbanisation of major population bases from 1990 to 2015?,1015168,10,text,1015168_11
"What was the purpose of the new ""Skills Agenda for Europe"" that the European Union (EU) approved in 2016?",1015168,5,text,1015168_6
Name the basic four aspects of globalization that was identified by the International Monetary Fund in 2000.,1015168,9,text,1015168_10
What was the rate of decline in heroin initiation in the United States in 2018?,1334401,18,text,1334401_19
What was the decrease in opioid use disorder from 2018 to 2019?,1334401,18,text,1334401_19
How many individuals are surveyed annually by National Survey on Drug Use and Health?,1334401,1,text,1334401_2
"In FY 2019, what was the Georgia's per capita state funding?",1303168,5,text,1303168_6
"By the end of fiscal year 2019, what percentage of public library systems in Georgia were above the state average of 1.86 items per capita?",1303168,35,text,1303168_36
What place does Georgia hold in terms of state funding per person for public libraries in FY2018?,1303168,5,text,1303168_6
What is the actual average risk of breast cancer in women?,1179117,8,text,1179117_9
"Who approved the research ""Simple Messages Help Set the Record Straight about Scientific Agreement on Human-Caused Climate Change: The Results of Two Experiments"" ? ",1179117,3,text,1179117_4
"n 2013, what percentage of American adults believed that ""most scientists think global warming is happening""?",1179117,1,text,1179117_2
When was the Waste Local Law 2020 adopted by the City of Cockburn council?,1321440,6,text,1321440_7
What causes higher volatility in the financial markets of Italy?,1262031,4,text,1262031_5
How much was the stock of bad loans in Italy at November 2015?,1262031,2,text,1262031_3
What was the percentage increase in Italian GDP by the conclusion of 2014?,1262031,0,text,1262031_1
Which country has the largest emitter?,1381956,4,text,1381956_5
Which African country ranks for having the fourth largest non-G20 emitter of fossil CO2?,1381956,2,text,1381956_3
"As of May 2019, what was the capacity of installed renewable energy in Iran?",1381956,4,text,1381956_5
How many electric vehicles were registered in the TJPDC region in 2020?,1067991,7,text,1067991_8
What type of vehicle model is more expensive if purchased new?,1067991,19,text,1067991_20
When is the effective date for the implementation of the $88 highway user fee on fuel-efficient 4 and electric vehicles in Virginia?,1067991,20,text,1067991_21
Which large-scale commercial plants were established as a result of Martin Vydra's efforts in accessing various markets?,1416620,7,text,1416620_8
What areas of finance does Justin Cochrane specialize in?,1416620,7,text,1416620_8
How does Nickel 28 Capital Corp. focus its business strategy in the battery metals industry?,1416620,0,text,1416620_1
What are some considerable strategies for making maternal and child health services more accessible?,1507643,4,text,1507643_5
What was the primary focus of the research on Maternal & Child Health Services in Ethiopia and India in 2020?,1507643,2,text,1507643_3
"As of February 2021, what are the projected increases in child and maternal mortality in Ethiopia due to the covid pandemic?",1507643,2,text,1507643_3
"Which countries are the most and least likely to believe that their governments should do ""much more"" or ""more"" to address climate change?",1515108,4,text,1515108_5
"Based on public opinion, what country are respondents most likely to say they need more information about climate change?",1515108,3,text,1515108_4
What type of augmented reality experiences are most commonly utilized?,1547364,3,text,1547364_4
What types of mobile augmented reality experiences have the highest potential for monetization through in-app purchases?,1547364,11,text,1547364_12
how does user engagement in mobile augmented reality compare to the typical usage patterns observed in other mobile applications?,1547364,11,text,1547364_12
What type of scan should be performed to assess the extent of myocardial damage?,1547441,0,text,1547441_1
What are the classic signs and symptoms of chest pain that could be associated with myocardial infarction?,1547441,0,text,1547441_1
How can healthcare systems assist with hypertension intervention?,1547441,10,text,1547441_11
How are Business and Occupation Taxes on construction primarily allocated?,1602122,10,text,1602122_11
What are some of the significant markers of the recent economic performance in the workforce of Central West Virginia?,1602122,38,text,1602122_39
What additional funding is being allocated to Board Of Park And Recreation Commissioners and the Morgantown Library?,1602122,7,text,1602122_8
What are the projected AirPods unit sales for the year 2023?,1821485,1,text,1821485_2
"According to Artillery Intelligence, what is the estimated size of the ""hearables"" market currently?",1821485,1,text,1821485_2
What is Artillery Data Briefs?,1821485,5,text,1821485_6
"In FY19, what were the earnings per share of the Saudi Research and Marketing Group?",1243103,12,table,1243103_13
What was the gross profit of Saudi Research and Marketing Group in FY20?,1243103,12,table,1243103_13
Was the total reserves spent on the City of Cockburn in the 2019 to 2020 year within budget?,1321440,617,table,1321440_618
"What is the closing balance of the City of Cockburn as of April 30, 2020?",1321440,617,table,1321440_618
"For 2021, how much budget was requested for general fund revenue in total in the city of Morgantown?",1602122,18,table,1602122_19
"In the city of Morgantown, what was the total amended budget for fiscal year 2020 for all personnel services in city hall?",1602122,28,table,1602122_29
"By 2017, which fastest-growing occupation had the highest-paid individuals?",1015168,60,chart,1015168_61
Which occupation will probably lead with maximum employment changes? ,1015168,60,chart,1015168_61
What is the C/D highway range for 2019 Kia Niro EV model?,1067991,15,chart,1067991_16
How much C/D highway range does 2018 Tesla Model 3 Long Range have?,1067991,15,chart,1067991_16
During what period did most people begin living in their current residence in San Marino?,1167316,225,chart,1167316_226
What is the most commonly occurring mortgage payment in the SCAG region?,1167316,236,chart,1167316_237
what percentage of mortgage payments in san marino are between $500-$1000?,1167316,236,chart,1167316_237
How much was the CIP expenditure in the March FY 2020-2021?,1167316,370,chart,1167316_371
Which month has the maximum CIP expenditure in FY 2019-2020?,1167316,370,chart,1167316_371
A scientific agreement is more promising with or without a pre-message estimate?,1179117,11,chart,1179117_12
What is the approximate actual level of scientific agreement?,1179117,11,chart,1179117_12
What is the expected NPL ratio at the end of 2020?,1262031,20,chart,1262031_21
What was the NLP ratio in August of 2017?,1262031,20,chart,1262031_21
Name the US regions which maintained material expenditures per capita at par with the State Average in FY 2019?,1303168,40,chart,1303168_41
Which county had the maximum material expenditures per capita in 2019?,1303168,40,chart,1303168_41
"In which year, Business profits tax of New Hampshire reach to its peak?",1312679,12,chart,1312679_13
