x_title,y_title,other,xlabel,ylabel,chart_title,legend_label,legend_title,mark_label,value_label,info_deplot,caption,input,chart,h,w,left,upper,right,lower,label,conf,pdf,page
,,,"November - February - September - ecember - October - ugust - $20,000.00 nuary","$120,000.00 - $140,000.00 - $100,000.00 - $80,000.00 - $20,000.00 - $60,000.00 - $40,000.00 - $-",Revenue Impacts of COVID 19,Post-COVID - Pre-COVID,,,,TITLE | Revenue Impacts of COVID 19 Year | Post-COVID | Pre-COVID | Characteristic 2014 | 504223917.50 | 535714175.61 | 362738934.30 2015 | 499485247.47 | 542363949.55 | 348710.95 2016 | 507,,"Revenue Impacts of COVID 19  TITLE | Revenue Impacts of COVID 19 Year | Post-COVID | Pre-COVID | Characteristic 2014 | 504223917.50 | 535714175.61 | 362738934.30 2015 | 499485247.47 | 542363949.55 | 348710.95 2016 | 507  November - February - September - ecember - October - ugust - $20,000.00 nuary  $120,000.00 - $140,000.00 - $100,000.00 - $80,000.00 - $20,000.00 - $60,000.00 - $40,000.00 - $- Post-COVID - Pre-COVID    ",1037700_15_0,1187,1536,0.32541618,0.23412827,0.90095437,0.74905735,chart,0.8778113,1037700,15
,,"Hyper Local 13% - Tourist 27% - Regional - Local 29% - 13% - SOURCEOF AUDIENCE,PRE-COVID - 27% - 31% - Local",,,"SOURCEOF AUDIENCE,PRE-COVID",,,"Local - Tourist - 29% - 27% - Local - 13% - 31% - Hyper - SOURCEOF AUDIENCE,PRE-COVID - Regional",,"TITLE | SOURCE OF AUDIENCE, PRE-COVID | 61% Regional | 31% Regional | 31% Tourist | 27% Hyper Local | 13% Local | 29%",,"SOURCEOF AUDIENCE,PRE-COVID  TITLE | SOURCE OF AUDIENCE, PRE-COVID | 61% Regional | 31% Regional | 31% Tourist | 27% Hyper Local | 13% Local | 29%       Local - Tourist - 29% - 27% - Local - 13% - 31% - Hyper - SOURCEOF AUDIENCE,PRE-COVID - Regional  Hyper Local 13% - Tourist 27% - Regional - Local 29% - 13% - SOURCEOF AUDIENCE,PRE-COVID - 27% - 31% - Local",1037700_16_0,1187,1536,0.13337064,0.16802642,0.8296647,0.7518343,chart,0.66369385,1037700,16
,,"Q:When do you expect the coronavirus outbreak to be controlled enough that people can safely attend gatherings of 1O or more people? By the end of April, by the end of May,by the end of June,by the end of July, later in 2020 or will it take longer than that?",End of July - End of April/Earlier - End of May - No opinion - Longer than that - End of June - Later in2020,,"Most Americans doubt gatherings will be safe until at least Q:When do you expect the coronavirus outbreak to be controlled enough that people can safely attend gatherings of 1O or more people? By the end of April, by the end of May,by the end of June,by the end of July, later in 2020 or will it take longer than that?",,,,13 - 13 - 19 - 21 - 20 - 10% - 10,Country | Most Americans doubt gatherings will be safe until at least summer End of April/Earlier | 10 End of May | 21 End of June | 20 End of July | 13 Later in 2020 | 19 Longer than that | 13 No opinion | 4,,"Most Americans doubt gatherings will be safe until at least Q:When do you expect the coronavirus outbreak to be controlled enough that people can safely attend gatherings of 1O or more people? By the end of April, by the end of May,by the end of June,by the end of July, later in 2020 or will it take longer than that?  Country | Most Americans doubt gatherings will be safe until at least summer End of April/Earlier | 10 End of May | 21 End of June | 20 End of July | 13 Later in 2020 | 19 Longer than that | 13 No opinion | 4  End of July - End of April/Earlier - End of May - No opinion - Longer than that - End of June - Later in2020      13 - 13 - 19 - 21 - 20 - 10% - 10 Q:When do you expect the coronavirus outbreak to be controlled enough that people can safely attend gatherings of 1O or more people? By the end of April, by the end of May,by the end of June,by the end of July, later in 2020 or will it take longer than that?",1037700_4_0,1187,1536,0.47846597,0.32247567,0.85439813,0.6887843,chart,0.889792,1037700,4
,,"Q:Regardless of current restrictions in your area,would you feel comfortable or","Comfortable - Comfortable - Comfortable - Uncomfortable - Uncomfortable - Uncomfortable - Going to a grocery store - Going to a retail clothing store - Eating out in a restaurant - Note:""No opinion"" not shown.",,"majorities are uncomtortable going to stores or eating out Q:Regardless of current restrictions in your area,would you feel comfortable or",,,,33 - 44 - 22 - 67 - 78 - 56%,Entity | Values Uncomfortable | 67.0 Eating out in a restaurant | 22.0 Uncomfortable | 67.0 Going to a retail clothing store | 0.0 Uncomfortable | 44.0 Comfortable | 56.0 Going to a grocery store | 0.0,,"majorities are uncomtortable going to stores or eating out Q:Regardless of current restrictions in your area,would you feel comfortable or  Entity | Values Uncomfortable | 67.0 Eating out in a restaurant | 22.0 Uncomfortable | 67.0 Going to a retail clothing store | 0.0 Uncomfortable | 44.0 Comfortable | 56.0 Going to a grocery store | 0.0  Comfortable - Comfortable - Comfortable - Uncomfortable - Uncomfortable - Uncomfortable - Going to a grocery store - Going to a retail clothing store - Eating out in a restaurant - Note:""No opinion"" not shown.      33 - 44 - 22 - 67 - 78 - 56% Q:Regardless of current restrictions in your area,would you feel comfortable or",1037700_4_1,1187,1536,0.16937093,0.36695817,0.4858267,0.6917259,chart,0.8274042,1037700,4
,,Q.What interest or engagement have you had with technical assistance related to the following topics?,Adding alternative mode of business operations(e.g.delivery) - Human resources (e.g.managing employee - Selling your business - Succession planning - E-commerce or selling online - Social media - Safety guidelines for running your business or,10% - 20% - 60% - 80% - 0% - 50% - 40% - 30% - 70% - 90%,Q.What interest or engagement have you had with technical assistance related to the following topics?,Have received technical assistance - Have not received this technical assistance but would be interested,,,,TITLE | | Have received technical assistance | 42% Safety guidelines for running your business or reopening your business | 40% Human resources (e.g. managing employee entries and exits) | 78% Adding alternative mode of business operations (e.g. delivery) | 63% Selling your business | 84% Succession planning | 23% E-commerce or selling online | 57% Social media | 34%,,Q.What interest or engagement have you had with technical assistance related to the following topics?  TITLE | | Have received technical assistance | 42% Safety guidelines for running your business or reopening your business | 40% Human resources (e.g. managing employee entries and exits) | 78% Adding alternative mode of business operations (e.g. delivery) | 63% Selling your business | 84% Succession planning | 23% E-commerce or selling online | 57% Social media | 34%  Adding alternative mode of business operations(e.g.delivery) - Human resources (e.g.managing employee - Selling your business - Succession planning - E-commerce or selling online - Social media - Safety guidelines for running your business or  10% - 20% - 60% - 80% - 0% - 50% - 40% - 30% - 70% - 90% Have received technical assistance - Have not received this technical assistance but would be interested    Q.What interest or engagement have you had with technical assistance related to the following topics?,1037700_5_0,1187,1536,0.51147246,0.30897725,0.924086,0.6842727,chart,0.69426775,1037700,5
What stops you from doing this?*,,"How often do you use a reusable cup when you have a takeaway drink? - Excludes""Always and""Other Multiple responses allowed","I didn't plan to It doesnt occur tome - It's not an option I don'twant to I dont have one whereIgo - It's not an option I don'twant to I dont have one be a nuisance - I didn't plan to It doesnt occur buy a drink - It'stoo expensive - Other not applicable,not - Thinking of doing - It's not an option I don'twant to I dont have one - I forget - Usually - Sometimes - Never and unlikely to - Always - Once in a while",0% - 40% - 20% - 60% - 00% - 30% - 20% - 40% - 10% - 90% - 70% - 80% - 60% - 50% - 80% - 0% - 100%,How often do you use a reusable cup when you have a takeaway drink?,"20192021 - 20192021 - 20192021 - 20192021 - Excludes""Always and""Other Multiple responses allowed",,,,"TITLE | How often do you use a reusable cup when you have a takeaway drink? Always | 25% Usually | 26% Sometimes | 10% Once in a while | 8% Thinking of doing | 6% Never and unlikely to | 6% Other (not applicable, not possible) | 7%",,"How often do you use a reusable cup when you have a takeaway drink?  TITLE | How often do you use a reusable cup when you have a takeaway drink? Always | 25% Usually | 26% Sometimes | 10% Once in a while | 8% Thinking of doing | 6% Never and unlikely to | 6% Other (not applicable, not possible) | 7% What stops you from doing this?* I didn't plan to It doesnt occur tome - It's not an option I don'twant to I dont have one whereIgo - It's not an option I don'twant to I dont have one be a nuisance - I didn't plan to It doesnt occur buy a drink - It'stoo expensive - Other not applicable,not - Thinking of doing - It's not an option I don'twant to I dont have one - I forget - Usually - Sometimes - Never and unlikely to - Always - Once in a while  0% - 40% - 20% - 60% - 00% - 30% - 20% - 40% - 10% - 90% - 70% - 80% - 60% - 50% - 80% - 0% - 100% 20192021 - 20192021 - 20192021 - 20192021 - Excludes""Always and""Other Multiple responses allowed    How often do you use a reusable cup when you have a takeaway drink? - Excludes""Always and""Other Multiple responses allowed",1061225_11_0,1087,1536,0.05892246,0.027168937,0.99269515,0.80811197,chart,0.5709493,1061225,11
What stops you from doing this?*,,"Excludes""Always and""Other Muitiple responses allowed - How often do you take a drink bottle rather than buying water?",I didn't think I'd need a lt doesn't occur to me - I forget - Always - It'stoo expensive - Usualy - I didn't think I'd need a lt doesn't occur to me - I don't have one - Sometimes - Other (not app - Never and unlikely to - Once in a while - Thinking of doing,70% - 20% - 60% - 90% - 0% - 30% - 40% - 80% - 10% - 100% - 50% - 40% - 60% - 80% - 20% - 100% - 0%,How often do you take a drink bottle rather than buying water?,20192021 - 20192021 - 20192021 - 20192021,,,,TITLE | How often do you take a drink bottle rather than buying water? Always | 69.5% Usually | 22.6% Sometimes | 2.7% Once in a while | 1.8% Thinking of doing | 0.1% Never and unlikely to | 1.1% Other (not applying water) | 1.3% Always | 70%,,"How often do you take a drink bottle rather than buying water?  TITLE | How often do you take a drink bottle rather than buying water? Always | 69.5% Usually | 22.6% Sometimes | 2.7% Once in a while | 1.8% Thinking of doing | 0.1% Never and unlikely to | 1.1% Other (not applying water) | 1.3% Always | 70% What stops you from doing this?* I didn't think I'd need a lt doesn't occur to me - I forget - Always - It'stoo expensive - Usualy - I didn't think I'd need a lt doesn't occur to me - I don't have one - Sometimes - Other (not app - Never and unlikely to - Once in a while - Thinking of doing  70% - 20% - 60% - 90% - 0% - 30% - 40% - 80% - 10% - 100% - 50% - 40% - 60% - 80% - 20% - 100% - 0% 20192021 - 20192021 - 20192021 - 20192021    Excludes""Always and""Other Muitiple responses allowed - How often do you take a drink bottle rather than buying water?",1061225_12_0,1087,1536,0.044324726,0.026472248,0.8958883,0.80410564,chart,0.6844962,1061225,12
What stops you from doing this?*,,"How often do you take reusable bags - *Excludes""Alwaysand""OtherMultiple responses allowed",I forget - It's too expensive - I didn't plan for it - I dont have any - Usually - Thinking of doing - Always - Sometimes - Never and unlikely to - Once in a while - Other (not a - It doesn't occur to me,10% - 80% - 20% - 0% - 70% - 40% - 30% - 60% - 80% - 60% - 50% - 90% - 20% - 40% - 0% - 100% - 100%,How often do you take reusable bags,20192021 - 20192021 - 20192021 - 20192021,,,,TITLE | How often do you take reusable bags when shopping? Always | 79.8% Usually | 12.5% Sometimes | 1.8% Once in a while | 2.8% Thinking of doing | 1.8% Never and unlikely to pass | 1.6% Other (not at all possible) options | 3.3%,,"How often do you take reusable bags  TITLE | How often do you take reusable bags when shopping? Always | 79.8% Usually | 12.5% Sometimes | 1.8% Once in a while | 2.8% Thinking of doing | 1.8% Never and unlikely to pass | 1.6% Other (not at all possible) options | 3.3% What stops you from doing this?* I forget - It's too expensive - I didn't plan for it - I dont have any - Usually - Thinking of doing - Always - Sometimes - Never and unlikely to - Once in a while - Other (not a - It doesn't occur to me  10% - 80% - 20% - 0% - 70% - 40% - 30% - 60% - 80% - 60% - 50% - 90% - 20% - 40% - 0% - 100% - 100% 20192021 - 20192021 - 20192021 - 20192021    How often do you take reusable bags - *Excludes""Alwaysand""OtherMultiple responses allowed",1061225_13_0,1087,1536,0.082025036,0.016220562,0.8761684,0.8050261,chart,0.73494554,1061225,13
What stops you from doing this?*,,"Excludes""Always""and""Other Multiple responses allowed - How often do you use reusable bags for fruit or vegetables?","I don't have time - I didn't plan to It doesnt occur buy it - It's not an option wherel - I didn't plan to It doesnt occur - i leave them loose (no bag) - It'stoo expensive - Other (not applicable, not - Thinking of doing - I forget - Usually - Never and unlikely to - Sometimes - Always - Once in a while",70% - 30% - 40% - 20% - 0% - 90% - 80% - 10% - 50% - 60% - 100% - 60% - 20% - 40% - 0% - 80% - 100%,How often do you use reusable bags for fruit or vegetables?,20192021 - 20192021 - 20192021 - 20192021,,,,"TITLE | How often do you use reusable bags for fruit or vegetables? Excludes ""Always and Other"" | -100% I forget | 40% Sometimes | 10% Once in a while | 2% Thinking of doing | 3% Never and unlikely to | 2% Other (not applicable, not possible) | 2%",,"How often do you use reusable bags for fruit or vegetables?  TITLE | How often do you use reusable bags for fruit or vegetables? Excludes ""Always and Other"" | -100% I forget | 40% Sometimes | 10% Once in a while | 2% Thinking of doing | 3% Never and unlikely to | 2% Other (not applicable, not possible) | 2% What stops you from doing this?* I don't have time - I didn't plan to It doesnt occur buy it - It's not an option wherel - I didn't plan to It doesnt occur - i leave them loose (no bag) - It'stoo expensive - Other (not applicable, not - Thinking of doing - I forget - Usually - Never and unlikely to - Sometimes - Always - Once in a while  70% - 30% - 40% - 20% - 0% - 90% - 80% - 10% - 50% - 60% - 100% - 60% - 20% - 40% - 0% - 80% - 100% 20192021 - 20192021 - 20192021 - 20192021    Excludes""Always""and""Other Multiple responses allowed - How often do you use reusable bags for fruit or vegetables?",1061225_14_0,1087,1536,0.067103624,0.013747044,0.97682786,0.81577885,chart,0.64688593,1061225,14
What stops you from doing this?*,,"*Excludes""Always""and""Other Multiple responses allowed - come prepackaged.Price is also a barrier - How often do you buy fruit or vegetables unpackaged?",I didn't plan to buy It doesn't occur to It'stoo expensive It's not an option whereIshop - items i want are pre-packaged - I didn't plan to buy It doesn't occur to It'stoo expensive It's not an option me - I forget - I didn't plan to buy It doesn't occur to It'stoo expensive It's not an option - Usually - Sometimes - Always - I didn't plan to buy It doesn't occur to It'stoo expensive It's not an option - Other not applicable. not - Thinking of doing - I didn't plan to buy It doesn't occur to It'stoo expensive It's not an option - Never and unlikely to - Once in a while,30% - 90% - 70% - 80% - 20% - 40% - 10% - 60% - 100% - 50% - 0% - 80% - 60% - 40% - 0% - 20% - 100%,How often do you buy fruit or vegetables unpackaged?,20192021 - 20192021 - 20192021 - 20192021 - come prepackaged.Price is also a barrier - People are more likely to usually buy their fruit and vegetables unpackaged but the main barrier is that items they want already,,,,"TITLE | How often do you buy fruit or vegetables unpackaged? Excludes ""Always and Other"" Multiple responses allowed | *Excludes ""Always and Other"" Multiple responses allowed | *Excludes ""Always and Other"" Multiple responses allowed | *Excludes ""Other (not applicable, not possible) Always | 32.3% | 31.5% | 21.4% Usually | 56.5% | 59.4% | 57.3% Sometimes | 4.",,"How often do you buy fruit or vegetables unpackaged?  TITLE | How often do you buy fruit or vegetables unpackaged? Excludes ""Always and Other"" Multiple responses allowed | *Excludes ""Always and Other"" Multiple responses allowed | *Excludes ""Always and Other"" Multiple responses allowed | *Excludes ""Other (not applicable, not possible) Always | 32.3% | 31.5% | 21.4% Usually | 56.5% | 59.4% | 57.3% Sometimes | 4. What stops you from doing this?* I didn't plan to buy It doesn't occur to It'stoo expensive It's not an option whereIshop - items i want are pre-packaged - I didn't plan to buy It doesn't occur to It'stoo expensive It's not an option me - I forget - I didn't plan to buy It doesn't occur to It'stoo expensive It's not an option - Usually - Sometimes - Always - I didn't plan to buy It doesn't occur to It'stoo expensive It's not an option - Other not applicable. not - Thinking of doing - I didn't plan to buy It doesn't occur to It'stoo expensive It's not an option - Never and unlikely to - Once in a while  30% - 90% - 70% - 80% - 20% - 40% - 10% - 60% - 100% - 50% - 0% - 80% - 60% - 40% - 0% - 20% - 100% 20192021 - 20192021 - 20192021 - 20192021 - come prepackaged.Price is also a barrier - People are more likely to usually buy their fruit and vegetables unpackaged but the main barrier is that items they want already    *Excludes""Always""and""Other Multiple responses allowed - come prepackaged.Price is also a barrier - How often do you buy fruit or vegetables unpackaged?",1061225_15_0,1087,1536,0.036163345,0.02679056,0.8911478,0.7419091,chart,0.57691014,1061225,15
