table,h,w,left,upper,right,lower,label,conf,image,height,paddle_ocr,pdf,page
1177640_10_0,1536,1085,0.057441577,0.31390919,0.9767151,0.39480737,table,0.9032473,../data/bo767_bs16/1177640_10.jpg,0.0674151499999999,.Date Pulse B.P Resp Temp Height Weight SPO2 (bpm) (mmHg) (per Minute) (F) (cm) (Kg) (%) User 17-06-2021 10:15 122 38 98 59 5 96 opdnurse,1177640,10
1177640_10_1,1536,1085,0.05603407,0.1229411919999999,0.98249906,0.30907294,table,0.88612413,../data/bo767_bs16/1177640_10.jpg,0.15510979,"Consultation Summary Name: Baby Akshay Shukla MR No: Age: 0221001799 2 Months DOB: 30-03-2021 Visit ID: Gender: OP0221005226 Male Visit Date: Address: 17-06-202109:18 Anapur, Allahabd Doctor: Location: DR.YOGESH C SATHE ALLAHABAD UP UTTAR PRADESH (Consultation) Department: Pediatric Cardiology Referred By: Old Patient Reference No:",1177640,10
1177640_15_0,1536,1085,0.12852861,0.618408344,0.93812865,0.8174639,table,0.95926076,../data/bo767_bs16/1177640_15.jpg,0.16587963,"association duriingpregnancyar Postpartum,2011. FOR CHILD T3(ng/dl) T4(ng/dl) TSH(uIU/ml 16Days To 1 Yr.Both 103.8- 5.9-16.31 0.8-8.2 246.7 AGE BOYS GIRLS BOYS GIRLS BOYS GIRLS 1-7.Days 210-578 238-534 7.7-61 4.8-67 1.99-28 1.81-12.6 8-15 Days 98-377 83-372 21-66 13.6-83 2.3-12.2 1.7812.6 1-3Yrs 126-253 138-217 4.8-10.6 6.5-13.3 0.47-2.1 0.612.2 4-6Yrs 112-236 148-261 6.2-11.7 7.8-12.6 0.84-4.2 0.72-3.0 7-8Yrs 125-260 143-270 6.3-14.0 7.6-12.4 0.89-3.5 0.54-6.0 9.10Yrs 114-213 109-202 4.7-15.6 5.8-14.3 0.88-6.2 1.24-5.6 10-11Yrs 141-220 132-255 6.3-11.1 6.2-12.5 0.58-3.7 0.39-2.9 11-12Yrs 139-235 146-219 7.2-10.9 6.5-9.0 1.0-4.6 1.06-4.2",1177640,15
1177640_15_1,1536,1085,0.12729463,0.4790589959999999,0.6631625,0.5765055,table,0.93101436,../data/bo767_bs16/1177640_15.jpg,0.08120542,FOR PREGNANT WOMEN T3(ng/dl) T4(ng/dl) TSH(ulU/ml) 1st TRIMESTER 81.1-176.6 S.61-13.3 0.0878-2.8 2nd TRIMESTER 92.8-205.1 7.36 0.1998-2.8 14.18 3rd TRIMESTER 90.9-205.1 7.37- 0.307-2.9 15.02,1177640,15
1177640_1_0,1536,1085,0.093665875,0.2407819279999999,0.9486099,0.6955292,table,0.9789041,../data/bo767_bs16/1177640_1.jpg,0.37895606,"PATIENT'SDETAILS NAME: AKSHAYSHUKLA FATHER NAME: SUBHASH SHUKLA DATE OF BIRTH/AGE 3 Month30.03.2021 SEX: Male ADDRESS: 14/8,Shivpuram,Kunda, Pratapgarh,UP-230204 DISEASE: Complete AV Canal Defect In Heart and Down Syndrome HOSPITAL AIIMS icer DEPARTMEN Cardiology TREATMENT COST Rs.70,000/-",1177640,1
1238975_1_0,1536,1086,0.09595207,0.5488339299999999,0.9051318,0.88162255,table,0.968952,../data/bo767_bs16/1238975_1.jpg,0.27732385,"ELTOETS ardnng tnedrantbudgetlor zoz RESOLVED:1) to agree the budget Yeovil Town Council-2021/22 Draft Budget f f f f f f Committee 2015/16 2016/17 2017/18 2018/19 2019/20 2020/21 2021/22 Policy,Resources and Finance 378,964 391,504 426,890 346,670 409,270 437,230 486,630 Buildings and Civic Matters 122,070 126,960 96,780 186,239 184,250 204,490 218,680 Grounds and General Maintenance 234,716 238,617 222,520 234,822 239,680 266,710 251,580 Planning and Licensing 5,360 13,250 0 0 1,000 1,000 1,000 Promotions and Activities 67,990 69,280 95,330 92,866 92,000 127,550 102,550 Sub Total 809,100 839,611 841,520 860,597 926,200 1,036,980 1,060,440 Contingency 39,347 40,551 68,463 48,517 46,310 51,849 53,022 Total Committees'Budget 848,447 880,162 909,983 909,114 972,510 1,088,829 1,113,462 Joint Burial Committee 80.420 80,398 58.284 60,016 61.007 63.760 63.814 Total Budget Requirement 928,867 960.560 968,267 969,130 1,033,517 1,152,589 1,177.276 Funded By: f f f f f f f Grant from Billing Authority CTRS 94,180) 81,920) (26,370 8,680 0 0 Net Precept (834,687) 878,640) (941,897 960,450 1,033,517 1,152,589 1,177,276 Use of Unallocated General Fund Balances 0 0 0 0 0 0 (960,560) (968,267) 0 Total Funding (928,867) (969,130 (1,033,517) (1,152,589) 1,177,276) Divided by Tax Base 8,733.72 9,013.54 9,055.91 9,142.80 9,108.12 9,107.50 9,104.62 Band D Charge 95.57 97.48 104.01 105.05 113.47 126.55 129.31",1238975,1
1375277_11_0,1536,1158,0.1467858,0.306125936,0.85884416,0.8556242,table,0.91014653,../data/bo767_bs16/1375277_11.jpg,0.4579152199999999,TABLE OFCONTENTS Paragraph Subject Page 1 PURPOSE 1 2 AUTHORIZATION 1 3 PREVIOUSLY SUBMITTED HYDROLOGY DESIGN MEMORANDUMS 2 4 BASIN DESCRIPTION 2 5 ALLAGASH RIVER DESCRIPTION 3 6 CLIMATOLOGY 3 ~ STREAMFLOW RECORDS 4 8 LINCOLN SCHOOL SPILLWAY DESIGN FLOOD a General 4 b Unit hydrograph analysis 1General 6 2Subareas 6 (3) Unit hydrograph for area between Dickey and Lincoln School dam sites 6,1375277,11
1375277_12_0,1536,1161,0.15601753,0.0463491592,0.84132284,0.34731832,table,0.95493066,../data/bo767_bs16/1375277_12.jpg,0.250807634,Paragraph Subject Page 8 LINCOLN SCHOOL SPILLWAY DESIGN FLOOD (continued) C Probable maximum precipitation 10 d Spillway design flood 11 e Probable maximum flood with snowmelt 13 9 LINCOLN SCHOOL HEAD POOL 15 10 LINCOLN SCHOOL TAILWATER RATINGS 15 11 LINCOLN SCHOOLSPILLWAY 17,1375277,12
1375277_13_0,1536,1158,0.15554138,0.120066736,0.84980404,0.448948,table,0.91392106,../data/bo767_bs16/1375277_13.jpg,0.27406772,"Table Title Page 1 Pertinent Data,Allagash River Gage Near 5 Allagash, Maine 2 Lincoln School Subwatersheds 7 3 Comparative Data on Adopted Unit Hydrographs 9 4 Isohyet Values for Pattern Storm 10 5 Probable Maximum Precipitation 12 6 Comparative SDF Peak Flows at Lincoln 16 School Dam",1375277,13
1375277_14_0,1536,1160,0.13410372,0.0385488759999999,0.8656835,0.8685925,table,0.91749096,../data/bo767_bs16/1375277_14.jpg,0.6917030200000001,"LIST OF PLATES Plate Title 2-IV-1 Basin Map 2-IV-2 Topographic Map of Upper St. John River Watershed 2-IV-3 Lincoln School Subwatersheds 2-IV-4 Dickey Dam - Adopted 6-Hour Unit Hydrographs for Spillway Design Flood 2-IV-5 6-Hour Unit Hydrograph-Storm of July 5-6,1951, Allagash River near Allagash, Maine 2-IV-6 6-Hour Unit Hydrograph-Storm of June 27-28,1954, Allagash River near Allagash, Maine 2-IV-7 6-Hour Unit Hydrograph-Storm of September 1l-12, 1954,Allagash River near Allagash, Maine 2-IV-8 Unit Hydrograph Analysis -Pertinent Data -Allagash River near Allagash, Maine 2-IV-9 Adopted 6-Hour Unit Hydrograph for Area Between Dickey and Lincoln School Projects 2-IV-10 Lincoln School Dam -Adopted 6-Hour Unit Hydrographs for Five Subwatersheds 2-IV-11 Adopted 6-Hour Unit Hydrograph Components for Area Between Dickey and Lincoln School Projects 2-IV-12 Adopted Isohyetal Pattern for Probable Maximum Precipitation, Lincoln School SDF 2-IV-13 Lincoln School SDF (Spillway Design Flood) Routing Through Dickey Reservoir 2-IV-14 Spillway Design Flood at Lincoln School Dam (Summertime Event)",1375277,14
